Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance
11,3,53.6759,47.6176,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,4,56.3778,50.1667,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,5,56.3778,52.1601,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,6,56.7085,53.5220,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,7,58.8258,54.8075,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,8,58.8258,55.3915,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,9,58.8258,56.0983,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,10,58.8258,57.0873,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,11,59.6289,57.7147,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,12,59.6289,57.9179,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,13,60.1887,58.5746,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,14,60.1887,58.9756,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,15,60.1887,59.3421,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,16,60.1887,59.6492,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
12,0,50.2820,32.8431,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,1,50.2820,38.9493,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,2,50.6580,43.5786,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,3,51.3442,46.2709,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,4,52.5056,48.3867,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,5,52.5056,49.6938,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,6,52.5056,50.8864,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
12,7,52.9061,51.5078,Warrior,74.6211,67.0054,38.6059,0.4972,19.2703,1.9245,200,53.4663
