pokemon,pokeball,status_effect,health_points,noise,capture_success,capture_rate
caterpie,pokeball,NONE,71,0.0,False,0.5571382517555118
caterpie,pokeball,NONE,71,0.0,True,0.6438112987604533
caterpie,pokeball,NONE,71,0.0,False,0.5129183661485348
caterpie,pokeball,NONE,71,0.0,True,0.6170319391556162
caterpie,pokeball,NONE,71,0.0,True,0.4327019784537597
caterpie,pokeball,NONE,71,0.0,True,0.6997561200085922
caterpie,pokeball,NONE,71,0.0,True,0.5485164136577195
caterpie,pokeball,NONE,71,0.0,False,0.6726849927776931
caterpie,pokeball,NONE,71,0.0,True,0.41327025443277254
caterpie,pokeball,NONE,70,0.0,True,0.567942146166273
caterpie,pokeball,NONE,70,0.0,True,0.49524017128483794
caterpie,pokeball,NONE,70,0.0,True,0.440295638419224
caterpie,pokeball,NONE,70,0.0,True,0.6256080515659314
caterpie,pokeball,NONE,70,0.0,True,0.38440842108285705
caterpie,pokeball,NONE,70,0.0,False,0.6234889806599744
caterpie,pokeball,NONE,70,0.0,False,0.5807168877205107
caterpie,pokeball,NONE,70,0.0,False,0.6823935199837989
caterpie,pokeball,NONE,70,0.0,False,0.6294435605918971
caterpie,pokeball,NONE,70,0.0,False,0.577908838274154
caterpie,pokeball,NONE,69,0.0,False,0.5169720851104443
caterpie,pokeball,NONE,69,0.0,False,0.5986729501588803
caterpie,pokeball,NONE,69,0.0,False,0.5180528195261335
caterpie,pokeball,NONE,69,0.0,False,0.527307721011506
caterpie,pokeball,NONE,69,0.0,True,0.5665733732251749
caterpie,pokeball,NONE,69,0.0,False,0.5474150761535483
caterpie,pokeball,NONE,69,0.0,True,0.5827535652145702
caterpie,pokeball,NONE,69,0.0,False,0.4465829557586135
caterpie,pokeball,NONE,69,0.0,False,0.5496148910208352
caterpie,pokeball,NONE,69,0.0,True,0.47643564693232343
caterpie,pokeball,NONE,68,0.0,False,0.70972664465407
caterpie,pokeball,NONE,68,0.0,False,0.4650045040845614
caterpie,pokeball,NONE,68,0.0,True,0.636169455791418
caterpie,pokeball,NONE,68,0.0,False,0.5022588979536691
caterpie,pokeball,NONE,68,0.0,True,0.38814962194193625
caterpie,pokeball,NONE,68,0.0,True,0.6516140060412203
caterpie,pokeball,NONE,68,0.0,False,0.4858052756341473
caterpie,pokeball,NONE,68,0.0,True,0.5363998654382487
caterpie,pokeball,NONE,68,0.0,False,0.5027060225635472
caterpie,pokeball,NONE,68,0.0,True,0.4656684250518762
caterpie,pokeball,NONE,67,0.0,True,0.49786601001210706
caterpie,pokeball,NONE,67,0.0,True,0.5714715355041519
caterpie,pokeball,NONE,67,0.0,True,0.5197196787418515
caterpie,pokeball,NONE,67,0.0,True,0.44360593940264864
caterpie,pokeball,NONE,67,0.0,True,0.5433611026613814
caterpie,pokeball,NONE,67,0.0,False,0.5485711681727399
caterpie,pokeball,NONE,67,0.0,True,0.49931197372514663
caterpie,pokeball,NONE,67,0.0,True,0.5192562555509175
caterpie,pokeball,NONE,67,0.0,True,0.6667542744842279
caterpie,pokeball,NONE,67,0.0,False,0.5656785772405274
caterpie,pokeball,NONE,66,0.0,False,0.5829439911899745
caterpie,pokeball,NONE,66,0.0,False,0.5852490321267554
caterpie,pokeball,NONE,66,0.0,True,0.7041123425620835
caterpie,pokeball,NONE,66,0.0,True,0.68222718592493
caterpie,pokeball,NONE,66,0.0,False,0.4082726424041481
caterpie,pokeball,NONE,66,0.0,True,0.5119201575917893
caterpie,pokeball,NONE,66,0.0,True,0.7428001466101927
caterpie,pokeball,NONE,66,0.0,False,0.5769627397838798
caterpie,pokeball,NONE,66,0.0,False,0.3715077623528986
caterpie,pokeball,NONE,66,0.0,True,0.47321794796370287
caterpie,pokeball,NONE,65,0.0,False,0.4680002467499261
caterpie,pokeball,NONE,65,0.0,False,0.501289656405064
caterpie,pokeball,NONE,65,0.0,False,0.5504243764346122
caterpie,pokeball,NONE,65,0.0,False,0.5205151507732743
caterpie,pokeball,NONE,65,0.0,True,0.656152000095474
caterpie,pokeball,NONE,65,0.0,True,0.6648647936730052
caterpie,pokeball,NONE,65,0.0,False,0.740512630049654
caterpie,pokeball,NONE,65,0.0,True,0.562510906653373
caterpie,pokeball,NONE,65,0.0,True,0.7147630460192921
caterpie,pokeball,NONE,65,0.0,False,0.6111346934571585
caterpie,pokeball,NONE,64,0.0,False,0.4819416483068998
caterpie,pokeball,NONE,64,0.0,True,0.55837974606826
caterpie,pokeball,NONE,64,0.0,True,0.5221486930407645
caterpie,pokeball,NONE,64,0.0,False,0.5574230714650257
caterpie,pokeball,NONE,64,0.0,True,0.44748703508920634
caterpie,pokeball,NONE,64,0.0,False,0.4882813778953913
caterpie,pokeball,NONE,64,0.0,False,0.49520488497550874
caterpie,pokeball,NONE,64,0.0,False,0.6071422206216696
caterpie,pokeball,NONE,64,0.0,True,0.5899448251439184
caterpie,pokeball,NONE,64,0.0,True,0.5727342243688962
caterpie,pokeball,NONE,63,0.0,True,0.6365075877103211
caterpie,pokeball,NONE,63,0.0,True,0.6257400557882343
caterpie,pokeball,NONE,63,0.0,True,0.5957497289631956
caterpie,pokeball,NONE,63,0.0,True,0.5928380107168645
caterpie,pokeball,NONE,63,0.0,False,0.6982300091041527
caterpie,pokeball,NONE,63,0.0,True,0.5720548030303803
caterpie,pokeball,NONE,63,0.0,False,0.6279420691185561
caterpie,pokeball,NONE,63,0.0,True,0.5312784246536149
caterpie,pokeball,NONE,63,0.0,True,0.5359709249176666
caterpie,pokeball,NONE,63,0.0,True,0.5672128034809536
caterpie,pokeball,NONE,62,0.0,True,0.7000918525358129
caterpie,pokeball,NONE,62,0.0,True,0.6102518644296097
caterpie,pokeball,NONE,62,0.0,True,0.5731338281880131
caterpie,pokeball,NONE,62,0.0,True,0.6690211200486643
caterpie,pokeball,NONE,62,0.0,True,0.5713931691833913
caterpie,pokeball,NONE,62,0.0,True,0.437423399115741
caterpie,pokeball,NONE,62,0.0,True,0.7257142611779546
caterpie,pokeball,NONE,62,0.0,True,0.5034313458483856
caterpie,pokeball,NONE,62,0.0,False,0.4369504555180525
caterpie,pokeball,NONE,62,0.0,True,0.6252491286646708
caterpie,pokeball,NONE,61,0.0,False,0.5524240139823456
caterpie,pokeball,NONE,61,0.0,False,0.4246337424819903
caterpie,pokeball,NONE,61,0.0,False,0.5930197364707765
caterpie,pokeball,NONE,61,0.0,False,0.5326390606833211
caterpie,pokeball,NONE,61,0.0,True,0.6212183046718559
caterpie,pokeball,NONE,61,0.0,False,0.5024904498771714
caterpie,pokeball,NONE,61,0.0,False,0.6088821639573178
caterpie,pokeball,NONE,61,0.0,True,0.6263754102797763
caterpie,pokeball,NONE,61,0.0,True,0.60411825861028
caterpie,pokeball,NONE,61,0.0,True,0.5006106326691178
caterpie,pokeball,NONE,60,0.0,False,0.5639366605978521
caterpie,pokeball,NONE,60,0.0,False,0.6374376118841353
caterpie,pokeball,NONE,60,0.0,False,0.6322256114434891
caterpie,pokeball,NONE,60,0.0,False,0.6603096301056017
caterpie,pokeball,NONE,60,0.0,False,0.6065291400819407
caterpie,pokeball,NONE,60,0.0,True,0.5997758952923901
caterpie,pokeball,NONE,60,0.0,False,0.7291746814920214
caterpie,pokeball,NONE,60,0.0,False,0.6316446551437891
caterpie,pokeball,NONE,60,0.0,True,0.8141507738276416
caterpie,pokeball,NONE,60,0.0,False,0.67558283456015
caterpie,pokeball,NONE,59,0.0,False,0.6869292638552211
caterpie,pokeball,NONE,59,0.0,False,0.46568658889352954
caterpie,pokeball,NONE,59,0.0,False,0.5628640823704978
caterpie,pokeball,NONE,59,0.0,False,0.621869004148259
caterpie,pokeball,NONE,59,0.0,True,0.5727976733777372
caterpie,pokeball,NONE,59,0.0,True,0.5269000171218081
caterpie,pokeball,NONE,59,0.0,False,0.5804805292905976
caterpie,pokeball,NONE,59,0.0,True,0.6319343157545342
caterpie,pokeball,NONE,59,0.0,True,0.6240367677758131
caterpie,pokeball,NONE,59,0.0,False,0.5420349389128708
caterpie,pokeball,NONE,58,0.0,True,0.5518247349084876
caterpie,pokeball,NONE,58,0.0,True,0.782834544458186
caterpie,pokeball,NONE,58,0.0,True,0.8223507056310915
caterpie,pokeball,NONE,58,0.0,True,0.5578461625975966
caterpie,pokeball,NONE,58,0.0,True,0.7707623896810412
caterpie,pokeball,NONE,58,0.0,True,0.4548025052637622
caterpie,pokeball,NONE,58,0.0,True,0.7166482910506761
caterpie,pokeball,NONE,58,0.0,True,0.756349538572229
caterpie,pokeball,NONE,58,0.0,False,0.4115118748206203
caterpie,pokeball,NONE,58,0.0,True,0.7713795777880603
caterpie,pokeball,NONE,57,0.0,True,0.6160623415228412
caterpie,pokeball,NONE,57,0.0,True,0.5604859818846856
caterpie,pokeball,NONE,57,0.0,True,0.5210470293733764
caterpie,pokeball,NONE,57,0.0,True,0.5941173615069942
caterpie,pokeball,NONE,57,0.0,True,0.771628261714996
caterpie,pokeball,NONE,57,0.0,True,0.5373187871809171
caterpie,pokeball,NONE,57,0.0,True,0.6151770224342624
caterpie,pokeball,NONE,57,0.0,False,0.7035701066619345
caterpie,pokeball,NONE,57,0.0,True,0.693743252662336
caterpie,pokeball,NONE,57,0.0,False,0.6692913422374502
caterpie,pokeball,NONE,56,0.0,True,0.6943524887744154
caterpie,pokeball,NONE,56,0.0,True,0.7187577041405663
caterpie,pokeball,NONE,56,0.0,False,0.6530219504766177
caterpie,pokeball,NONE,56,0.0,True,0.596887928873529
caterpie,pokeball,NONE,56,0.0,False,0.5474505816112302
caterpie,pokeball,NONE,56,0.0,True,0.8258887519369612
caterpie,pokeball,NONE,56,0.0,True,0.691599534426848
caterpie,pokeball,NONE,56,0.0,True,0.6692514364949292
